fecha,provincia,homicidios,muertes_violentas,femicidios,robos,extorsiones,secuestros,anio,mes,trimestre
2018-10-01,Esmeraldas,40,49,6,201,10,1,2018,10,4
2018-10-01,Guayas,24,52,2,171,9,1,2018,10,4
2018-10-01,Imbabura,12,7,0,60,4,0,2018,10,4
2018-10-01,Loja,8,14,0,50,3,0,2018,10,4
2018-10-01,Los Ríos,31,43,1,158,7,0,2018,10,4
2018-10-01,Manabí,26,33,1,153,10,1,2018,10,4
2018-10-01,Morona Santiago,9,10,2,57,5,1,2018,10,4
2018-10-01,Napo,10,9,0,40,1,0,2018,10,4
2018-10-01,Pastaza,7,12,0,54,0,0,2018,10,4
2018-10-01,Pichincha,13,22,2,88,3,0,2018,10,4
2018-10-01,Tungurahua,10,10,0,52,2,0,2018,10,4
2018-10-01,Zamora Chinchipe,9,15,1,62,1,0,2018,10,4
2018-10-01,Galápagos,11,16,0,61,3,0,2018,10,4
2018-10-01,Sucumbíos,10,11,1,61,3,0,2018,10,4
2018-10-01,Orellana,13,6,1,49,3,0,2018,10,4
2018-10-01,Santo Domingo de los Tsáchilas,23,38,1,134,6,0,2018,10,4
2018-10-01,Santa Elena,29,47,0,157,8,0,2018,10,4
2018-11-01,Azuay,7,15,0,59,3,0,2018,11,4
2018-11-01,Bolívar,11,12,1,51,0,0,2018,11,4
2018-11-01,Cañar,11,7,0,56,1,0,2018,11,4
2018-11-01,Carchi,5,14,1,61,3,0,2018,11,4
2018-11-01,Cotopaxi,6,8,1,54,2,0,2018,11,4
2018-11-01,Chimborazo,9,18,0,73,3,0,2018,11,4
2018-11-01,El Oro,16,31,2,123,9,0,2018,11,4
2018-11-01,Esmeraldas,44,51,0,207,9,1,2018,11,4
2018-11-01,Guayas,35,61,0,195,9,0,2018,11,4
2018-11-01,Imbabura,15,12,0,57,5,0,2018,11,4
2018-11-01,Loja,11,12,0,45,1,0,2018,11,4
2018-11-01,Los Ríos,33,44,2,171,6,2,2018,11,4
2018-11-01,Manabí,31,34,2,162,6,2,2018,11,4
2018-11-01,Morona Santiago,10,22,1,61,1,0,2018,11,4
2018-11-01,Napo,9,14,0,47,0,1,2018,11,4
2018-11-01,Pastaza,11,17,1,60,4,0,2018,11,4
2018-11-01,Pichincha,17,12,1,76,2,0,2018,11,4
2018-11-01,Tungurahua,7,13,0,62,1,0,2018,11,4
2018-11-01,Zamora Chinchipe,11,18,1,42,2,0,2018,11,4
2018-11-01,Galápagos,8,9,0,54,4,0,2018,11,4
2018-11-01,Sucumbíos,11,15,0,52,1,0,2018,11,4
2018-11-01,Orellana,12,12,0,46,4,0,2018,11,4
2018-11-01,Santo Domingo de los Tsáchilas,25,31,2,157,8,0,2018,11,4
2018-11-01,Santa Elena,29,30,1,170,9,1,2018,11,4
2018-12-01,Azuay,11,17,0,63,4,0,2018,12,4
2018-12-01,Bolívar,10,11,1,51,3,0,2018,12,4
2018-12-01,Cañar,17,14,1,54,2,1,2018,12,4
2018-12-01,Carchi,15,18,2,48,1,0,2018,12,4
2018-12-01,Cotopaxi,11,13,0,44,2,0,2018,12,4
2018-12-01,Chimborazo,14,16,2,55,7,0,2018,12,4
2018-12-01,El Oro,31,27,3,137,11,0,2018,12,4
2018-12-01,Esmeraldas,45,58,2,230,8,0,2018,12,4
2018-12-01,Guayas,31,61,3,234,8,1,2018,12,4
2018-12-01,Imbabura,8,12,2,60,3,0,2018,12,4
2018-12-01,Loja,9,22,1,61,3,0,2018,12,4
2018-12-01,Los Ríos,37,52,0,191,12,2,2018,12,4
2018-12-01,Manabí,26,39,1,169,3,2,2018,12,4
2018-12-01,Morona Santiago,9,14,1,56,2,0,2018,12,4
2018-12-01,Napo,11,13,0,64,2,0,2018,12,4
2018-12-01,Pastaza,11,13,0,40,2,2,2018,12,4
2018-12-01,Pichincha,12,31,0,88,4,1,2018,12,4
2018-12-01,Tungurahua,4,18,0,60,2,1,2018,12,4
2018-12-01,Zamora Chinchipe,8,8,0,50,2,0,2018,12,4
2018-12-01,Galápagos,8,7,0,51,4,0,2018,12,4
2018-12-01,Sucumbíos,18,12,0,47,2,0,2018,12,4
2018-12-01,Orellana,16,18,0,74,3,0,2018,12,4
2018-12-01,Santo Domingo de los Tsáchilas,37,47,1,147,9,1,2018,12,4
2018-12-01,Santa Elena,28,24,3,147,9,0,2018,12,4
2019-01-01,Azuay,16,19,0,55,2,1,2019,1,1
2019-01-01,Bolívar,7,12,1,64,4,0,2019,1,1
2019-01-01,Cañar,16,17,1,43,2,0,2019,1,1
2019-01-01,Carchi,9,21,0,49,3,0,2019,1,1
2019-01-01,Cotopaxi,12,11,1,56,5,0,2019,1,1
2019-01-01,Chimborazo,11,14,1,59,5,1,2019,1,1
2019-01-01,El Oro,27,32,2,145,7,0,2019,1,1
2019-01-01,Esmeraldas,61,59,3,217,12,3,2019,1,1
2019-01-01,Guayas,37,43,3,230,15,2,2019,1,1
2019-01-01,Imbabura,10,17,1,52,4,1,2019,1,1
2019-01-01,Loja,17,12,1,55,3,0,2019,1,1
2019-01-01,Los Ríos,45,48,3,188,8,1,2019,1,1
2019-01-01,Manabí,29,43,1,174,9,0,2019,1,1
2019-01-01,Morona Santiago,8,15,0,61,0,0,2019,1,1
2019-01-01,Napo,15,6,1,58,3,0,2019,1,1
2019-01-01,Pastaza,6,9,3,64,4,0,2019,1,1
2019-01-01,Pichincha,25,23,1,86,4,1,2019,1,1
2019-01-01,Tungurahua,12,16,1,57,3,0,2019,1,1
2019-01-01,Zamora Chinchipe,14,12,1,53,0,0,2019,1,1
2019-01-01,Galápagos,11,10,1,61,0,0,2019,1,1
2019-01-01,Sucumbíos,6,21,1,74,5,0,2019,1,1
2019-01-01,Orellana,8,18,0,54,7,0,2019,1,1
2019-01-01,Santo Domingo de los Tsáchilas,42,37,2,171,5,0,2019,1,1
2019-01-01,Santa Elena,33,35,3,170,12,1,2019,1,1
2019-02-01,Azuay,6,15,1,72,2,1,2019,2,1
2019-02-01,Bolívar,9,20,0,51,3,0,2019,2,1
2019-02-01,Cañar,18,15,1,49,2,0,2019,2,1
2019-02-01,Carchi,14,15,0,73,5,0,2019,2,1
2019-02-01,Cotopaxi,17,15,0,81,2,0,2019,2,1
2019-02-01,Chimborazo,12,11,0,55,1,2,2019,2,1
2019-02-01,El Oro,27,48,0,170,4,1,2019,2,1
2019-02-01,Esmeraldas,46,59,4,246,13,1,2019,2,1
2019-02-01,Guayas,39,53,3,233,8,0,2019,2,1
2019-02-01,Imbabura,11,20,1,63,1,0,2019,2,1
2019-02-01,Loja,10,25,0,60,4,0,2019,2,1
2019-02-01,Los Ríos,34,44,1,188,11,1,2019,2,1
2019-02-01,Manabí,36,34,1,145,6,1,2019,2,1
2019-02-01,Morona Santiago,10,19,0,57,6,0,2019,2,1
2019-02-01,Napo,14,14,1,56,5,0,2019,2,1
2019-02-01,Pastaza,12,15,1,63,1,0,2019,2,1
2019-02-01,Pichincha,18,19,0,89,4,2,2019,2,1
2019-02-01,Tungurahua,7,20,1,62,2,0,2019,2,1
2019-02-01,Zamora Chinchipe,12,11,0,72,2,1,2019,2,1
2019-02-01,Galápagos,13,10,0,51,5,0,2019,2,1
2019-02-01,Sucumbíos,9,12,1,66,4,0,2019,2,1
2019-02-01,Orellana,13,22,0,58,2,0,2019,2,1
2019-02-01,Santo Domingo de los Tsáchilas,31,44,1,165,7,3,2019,2,1
2019-02-01,Santa Elena,32,47,1,189,7,1,2019,2,1
2019-03-01,Azuay,10,9,1,54,1,1,2019,3,1
2019-03-01,Bolívar,15,14,0,65,3,0,2019,3,1
2019-03-01,Cañar,7,17,0,70,4,1,2019,3,1
2019-03-01,Carchi,9,11,0,55,2,1,2019,3,1
2019-03-01,Cotopaxi,17,17,0,66,3,1,2019,3,1
2019-03-01,Chimborazo,9,16,1,73,4,1,2019,3,1
2019-03-01,El Oro,23,32,0,123,5,0,2019,3,1
2019-03-01,Esmeraldas,58,58,4,269,8,4,2019,3,1
2019-03-01,Guayas,47,52,2,251,15,0,2019,3,1
2019-03-01,Imbabura,5,22,1,67,2,1,2019,3,1
2019-03-01,Loja,13,16,0,74,4,2,2019,3,1
2019-03-01,Los Ríos,42,41,0,184,10,0,2019,3,1
2019-03-01,Manabí,22,51,3,145,11,1,2019,3,1
2019-03-01,Morona Santiago,11,9,1,54,2,2,2019,3,1
2019-03-01,Napo,11,10,0,64,1,0,2019,3,1
2019-03-01,Pastaza,14,18,1,54,5,0,2019,3,1
2019-03-01,Pichincha,18,26,2,99,6,0,2019,3,1
2019-03-01,Tungurahua,17,24,1,51,2,1,2019,3,1
2019-03-01,Zamora Chinchipe,8,22,0,62,4,1,2019,3,1
2019-03-01,Galápagos,13,18,1,73,3,0,2019,3,1
2019-03-01,Sucumbíos,13,12,0,55,4,0,2019,3,1
2019-03-01,Orellana,15,11,1,64,5,1,2019,3,1
2019-03-01,Santo Domingo de los Tsáchilas,37,36,3,152,5,0,2019,3,1
2019-03-01,Santa Elena,34,47,0,178,8,2,2019,3,1
2019-04-01,Azuay,20,8,0,60,2,0,2019,4,2
2019-04-01,Bolívar,11,20,0,55,2,0,2019,4,2
2019-04-01,Cañar,10,12,0,66,3,0,2019,4,2
2019-04-01,Carchi,14,15,1,79,4,1,2019,4,2
2019-04-01,Cotopaxi,10,15,0,68,1,0,2019,4,2
2019-04-01,Chimborazo,19,11,0,62,4,0,2019,4,2
2019-04-01,El Oro,25,29,0,137,6,1,2019,4,2
2019-04-01,Esmeraldas,50,73,2,272,10,2,2019,4,2
2019-04-01,Guayas,44,44,4,201,10,1,2019,4,2
2019-04-01,Imbabura,13,15,0,72,2,0,2019,4,2
2019-04-01,Loja,19,16,0,53,4,0,2019,4,2
2019-04-01,Los Ríos,31,43,2,175,8,1,2019,4,2
2019-04-01,Manabí,34,31,5,147,6,1,2019,4,2
2019-04-01,Morona Santiago,10,7,0,59,3,0,2019,4,2
2019-04-01,Napo,14,14,1,58,3,1,2019,4,2
2019-04-01,Pastaza,6,18,1,69,1,0,2019,4,2
2019-04-01,Pichincha,16,22,2,87,6,0,2019,4,2
2019-04-01,Tungurahua,13,22,1,65,4,1,2019,4,2
2019-04-01,Zamora Chinchipe,8,20,1,51,5,0,2019,4,2
2019-04-01,Galápagos,9,15,1,60,4,0,2019,4,2
2019-04-01,Sucumbíos,9,16,0,64,2,0,2019,4,2
2019-04-01,Orellana,19,15,0,66,3,0,2019,4,2
2019-04-01,Santo Domingo de los Tsáchilas,30,36,3,169,2,3,2019,4,2
2019-04-01,Santa Elena,32,47,1,173,10,4,2019,4,2
2019-05-01,Azuay,11,12,1,65,1,0,2019,5,2
2019-05-01,Bolívar,14,15,0,69,3,1,2019,5,2
2019-05-01,Cañar,9,23,0,69,2,1,2019,5,2
2019-05-01,Carchi,11,12,0,76,5,1,2019,5,2
2019-05-01,Cotopaxi,12,10,0,60,1,0,2019,5,2
2019-05-01,Chimborazo,10,21,1,40,3,1,2019,5,2
2019-05-01,El Oro,26,45,4,156,6,0,2019,5,2
2019-05-01,Esmeraldas,44,57,3,218,15,0,2019,5,2
2019-05-01,Guayas,39,41,4,225,14,0,2019,5,2
2019-05-01,Imbabura,8,18,0,68,4,0,2019,5,2
2019-05-01,Loja,8,20,1,54,1,0,2019,5,2
2019-05-01,Los Ríos,28,43,1,198,8,0,2019,5,2
2019-05-01,Manabí,32,36,1,131,9,1,2019,5,2
2019-05-01,Morona Santiago,11,11,0,55,3,0,2019,5,2
2019-05-01,Napo,17,15,0,67,1,0,2019,5,2
2019-05-01,Pastaza,18,12,0,65,3,0,2019,5,2
2019-05-01,Pichincha,17,28,2,99,6,0,2019,5,2
2019-05-01,Tungurahua,11,19,1,57,3,1,2019,5,2
2019-05-01,Zamora Chinchipe,7,14,0,49,5,0,2019,5,2
2019-05-01,Galápagos,14,10,1,44,4,0,2019,5,2
2019-05-01,Sucumbíos,9,13,0,67,6,0,2019,5,2
2019-05-01,Orellana,12,13,0,60,2,0,2019,5,2
2019-05-01,Santo Domingo de los Tsáchilas,29,39,2,175,7,1,2019,5,2
2019-05-01,Santa Elena,25,56,2,151,10,0,2019,5,2
2019-06-01,Azuay,10,12,0,49,5,0,2019,6,2
2019-06-01,Bolívar,15,10,0,63,1,0,2019,6,2
2019-06-01,Cañar,10,12,3,58,2,0,2019,6,2
2019-06-01,Carchi,9,15,0,50,4,0,2019,6,2
2019-06-01,Cotopaxi,14,14,0,71,5,1,2019,6,2
2019-06-01,Chimborazo,8,13,0,57,2,0,2019,6,2
2019-06-01,El Oro,33,25,1,128,6,0,2019,6,2
2019-06-01,Esmeraldas,45,69,0,202,9,0,2019,6,2
2019-06-01,Guayas,38,53,2,190,8,0,2019,6,2
2019-06-01,Imbabura,9,11,0,57,6,0,2019,6,2
2019-06-01,Loja,10,10,1,41,5,0,2019,6,2
2019-06-01,Los Ríos,30,42,3,167,7,1,2019,6,2
2019-06-01,Manabí,39,33,1,159,5,1,2019,6,2
2019-06-01,Morona Santiago,13,14,1,58,6,0,2019,6,2
2019-06-01,Napo,15,16,0,59,5,0,2019,6,2
2019-06-01,Pastaza,7,21,1,55,1,1,2019,6,2
2019-06-01,Pichincha,13,31,2,93,5,0,2019,6,2
