provincia,canton,poblacion_miles,latitud,longitud,gang_presence,poblacion,tasa_pobreza_pct,gini,anios_escolaridad,homicidios_2024,homicide_rate,violence_pressure,spillover_pct
Loja,Loja,245,-3.998,-79.205,3,245000,22.7,0.4,10.1,130,53.1,145.4,173.9
Chimborazo,Riobamba,265,-1.671,-78.648,3,265000,38.4,0.45,8.3,150,56.6,142.4,151.6
Cotopaxi,Latacunga,210,-0.933,-78.615,4,210000,35.2,0.44,8.5,122,58.1,164.2,182.7
Cotopaxi,La Maná,50,-0.938,-79.224,6,50000,35.2,0.44,8.5,122,244.0,350.0,43.4
Tungurahua,Ambato,380,-1.243,-78.62,3,380000,28.1,0.43,9.6,136,35.8,148.6,315.2
Sucumbíos,Lago Agrio,110,0.086,-76.882,7,110000,42.7,0.47,7.9,127,115.5,162.1,40.3
Orellana,Francisco de Orellana,80,-0.467,-76.987,6,80000,46.1,0.48,7.5,145,181.2,228.2,25.9
Carchi,Tulcán,96,0.813,-77.72,5,96000,32.1,0.43,9.0,132,137.5,262.8,91.1
Cañar,Azogues,83,-2.741,-78.847,3,83000,30.5,0.41,8.8,127,153.0,234.6,53.4
Bolívar,Guaranda,86,-1.597,-79.006,3,86000,45.3,0.46,7.6,158,183.7,267.1,45.4
Zamora Chinchipe,Zamora,30,-4.069,-78.957,3,30000,43.5,0.46,8.1,149,496.7,572.4,15.2
Pastaza,Puyo,52,-1.48,-78.004,3,52000,42.8,0.48,8.3,120,230.8,286.8,24.2
Morona Santiago,Macas,48,-2.307,-78.113,3,48000,39.3,0.46,8.2,113,235.4,279.1,18.6
Napo,Tena,62,-0.996,-77.816,4,62000,44.2,0.47,8.0,115,185.5,229.0,23.4
Galápagos,Santa Cruz,15,-0.741,-90.315,1,15000,8.5,0.38,12.5,153,1020.0,1020.0,0.0
