provincia,canton,poblacion_miles,latitud,longitud,gang_presence,poblacion,tasa_pobreza_pct,gini,anios_escolaridad,homicidios_2024,homicide_rate,robbery_rate_est,extortion_index,n_hr,n_rr,n_gp,n_pov,citizen_risk_score,citizen_risk_category
Loja,Loja,245,-3.998,-79.205,3,245000,22.7,0.4,10.1,130,53.1,133.33333333333331,30,0.027716900863735978,0.24999999999999997,0.25,0.35148514851485146,17.6,Moderate
Chimborazo,Riobamba,265,-1.671,-78.648,3,265000,38.4,0.45,8.3,150,56.6,133.33333333333331,30,0.029972927678226118,0.24999999999999997,0.25,0.7400990099009901,23.6,Elevated
Cotopaxi,Latacunga,210,-0.933,-78.615,4,210000,35.2,0.44,8.5,122,58.1,177.77777777777777,40,0.030939796313007605,0.37499999999999994,0.375,0.660891089108911,28.0,Elevated
Cotopaxi,La Maná,50,-0.938,-79.224,6,50000,35.2,0.44,8.5,122,244.0,266.66666666666663,60,0.15076704911692665,0.6249999999999999,0.625,0.660891089108911,44.1,High
Tungurahua,Ambato,380,-1.243,-78.62,3,380000,28.1,0.43,9.6,136,35.8,133.33333333333331,30,0.01656568260925615,0.24999999999999997,0.25,0.4851485148514852,19.2,Moderate
Sucumbíos,Lago Agrio,110,0.086,-76.882,7,110000,42.7,0.47,7.9,127,115.5,311.11111111111114,70,0.06793863607064587,0.7500000000000001,0.75,0.8465346534653466,49.2,High
Orellana,Francisco de Orellana,80,-0.467,-76.987,6,80000,46.1,0.48,7.5,145,181.2,266.66666666666663,60,0.11028748227407502,0.6249999999999999,0.625,0.9306930693069307,46.5,High
Carchi,Tulcán,96,0.813,-77.72,5,96000,32.1,0.43,9.0,132,137.5,222.22222222222223,50,0.08211937604744102,0.5,0.5,0.5841584158415842,34.5,Elevated
Cañar,Azogues,83,-2.741,-78.847,3,83000,30.5,0.41,8.8,127,153.0,133.33333333333331,30,0.09211035194018306,0.24999999999999997,0.25,0.5445544554455446,23.1,Elevated
Bolívar,Guaranda,86,-1.597,-79.006,3,86000,45.3,0.46,7.6,158,183.7,133.33333333333331,30,0.11189892999871083,0.24999999999999997,0.25,0.9108910891089108,29.4,Elevated
Zamora Chinchipe,Zamora,30,-4.069,-78.957,3,30000,43.5,0.46,8.1,149,496.7,133.33333333333331,30,0.31365218512311455,0.24999999999999997,0.25,0.8663366336633663,36.8,Elevated
Pastaza,Puyo,52,-1.48,-78.004,3,52000,42.8,0.48,8.3,120,230.8,133.33333333333331,30,0.14225860513084956,0.24999999999999997,0.25,0.849009900990099,29.7,Elevated
Morona Santiago,Macas,48,-2.307,-78.113,3,48000,39.3,0.46,8.2,113,235.4,133.33333333333331,30,0.14522366894417946,0.24999999999999997,0.25,0.7623762376237624,28.5,Elevated
Napo,Tena,62,-0.996,-77.816,4,62000,44.2,0.47,8.0,115,185.5,177.77777777777777,40,0.11305917236044863,0.37499999999999994,0.375,0.8836633663366338,34.7,Elevated
Galápagos,Santa Cruz,15,-0.741,-90.315,1,15000,8.5,0.38,12.5,153,1020.0,44.44444444444444,10,0.6509604228438829,0.0,0.0,0.0,26.0,Elevated
